호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
7,장암,3315,1189,1155,257,0,0,0,4,14,0,0,4,0,0
7,도봉산,16113,5719,5227,713,7,1,1,34,27,1,0,7,0,0
7,수락산,26951,10048,9125,1478,9,5,8,87,28,2,0,15,0,0
7,마들,40159,14742,14719,813,16,3,9,122,24,0,0,8,0,0
7,노원,29133,11729,10191,3236,10,11,131,251,35,0,0,32,0,0
7,중계,36744,14077,14107,1179,14,4,9,107,19,1,2,8,3,3
7,하계,39618,13852,13439,1459,14,9,9,83,35,4,3,12,3,3
7,공릉,37174,15373,11643,2136,12,3,18,110,41,2,0,29,0,0
7,태릉입구,29127,11829,8718,2061,5,7,19,99,37,3,1,23,0,0
7,먹골,34070,13682,8132,1956,5,6,12,82,27,3,1,17,0,0
7,중화,33362,13889,7283,2430,9,7,16,80,29,4,0,16,0,0
7,상봉,38583,16637,9965,2696,9,5,33,93,23,1,2,22,0,0
7,면목,38552,16828,8358,2657,5,2,16,83,17,1,0,8,0,0
7,사가정,41626,17730,9240,2864,9,10,15,102,22,4,0,15,0,0
7,용마산,33534,13836,8106,1763,7,7,12,71,13,3,0,18,1,1
7,중곡,35467,14756,7251,2522,13,6,10,102,25,3,0,24,0,0
7,군자,36479,17586,7533,2795,3,8,33,80,32,0,0,34,2,0
7,어린이대공원,22347,11953,5166,1701,33,8,11,46,18,4,0,37,3,2
7,건대입구,33265,16623,69898,3106,18,3,29,107,20,0,2,38,3,2
7,뚝섬유원지,23744,9007,6254,1053,7,6,5,52,8,4,0,11,0,2
7,청담,18590,7112,6422,2361,5,3,51,110,22,0,0,27,0,0
7,강남구청,23954,9726,7757,3902,6,6,73,171,17,0,0,40,1,2
7,학동,17486,9133,5343,5216,5,6,73,123,17,1,0,46,0,2
7,논현,22010,12152,6003,5001,2,2,68,238,22,0,0,45,3,2
7,반포,30756,11015,10115,3465,7,6,38,104,26,2,2,22,0,0
7,고속터미널,22334,7271,7260,3504,5,7,57,130,29,0,2,27,1,1
7,내방,30528,12328,8902,2999,5,3,43,123,30,0,0,19,0,2
7,총신대입구(이수),34872,15067,9208,4203,7,9,123,233,49,3,0,34,2,3
7,남성,34673,14098,9552,1637,15,6,10,94,27,1,0,15,0,1
7,숭실대입구,32362,12533,9719,1012,15,4,7,44,23,2,0,15,0,0
7,상도,38391,16679,11764,1688,6,4,8,110,40,0,0,21,0,2
7,장승배기,37939,16271,10209,1810,11,7,14,115,38,0,0,21,0,2
7,신대방삼거리,34875,15257,9373,2181,6,6,18,139,39,3,0,26,0,0
7,보라매,25959,11176,6422,2025,11,10,28,94,44,2,0,19,0,0
7,신풍,29735,11964,7861,1510,8,5,9,77,84,1,0,12,0,0
7,대림,31864,14728,10890,4628,9,10,79,138,29,3,0,39,0,2
7,남구로,39663,17357,14058,6784,9,5,69,163,27,2,0,39,0,4
7,가산디지털단지,7497,4345,2439,11980,0,7,10,75,55,1,0,62,1,2
7,철산,28069,9909,8928,2118,8,15,47,132,24,3,1,21,2,1
7,광명사거리,42434,17085,13203,3041,8,6,31,153,22,0,0,26,0,0
7,천왕,17600,6221,5848,504,8,1,4,43,30,0,0,8,0,0
7,온수,16408,5932,5639,806,18,1,5,19,33,1,0,11,0,1
7,까치울,5355,1742,1258,296,4,0,0,12,30,0,0,4,0,5
7,부천종합운동장,2943,1040,1014,1525,5,1,4,8,31,1,0,6,0,5
7,춘의,17625,6899,4704,3730,8,6,11,18,31,2,0,14,0,0
7,신중동,32596,12511,11124,3776,13,8,145,154,47,2,2,30,1,1
7,부천시청,25186,9831,9876,4196,11,11,58,234,64,3,6,34,2,0
7,상동,23816,8100,7691,4706,13,9,59,200,69,2,4,39,2,1
7,삼산체육관,20828,6998,6888,1350,10,0,24,97,56,0,0,15,0,0
7,굴포천,29904,11444,9114,2320,9,3,29,115,45,1,1,15,1,0
7,부평구청,21063,8088,6899,1310,7,8,7,55,40,1,0,10,1,1
