호선,역,인구,가구,주택,사업체수,교육시설,공공기관,금융시설,의료시설,대중교통,방범/방재,백화점/중대형마트,편의점,극장/영화관,도서관/박물관
9,종합운동장(2),10966,3888,3857,1912,3,8,68,36,19,3,0,32,2,1
9,신논현,21395,11953,6074,6512,4,5,101,388,49,0,0,70,5,4
9,사평,28860,10833,8842,3408,11,6,48,87,41,2,1,28,1,1
9,"고속터미널(3, 7)",22334,7271,7206,3504,5,7,57,130,29,1,2,27,1,1
9,신반포,22145,7151,7022,3598,11,11,39,100,36,3,1,24,1,0
9,구반포,17938,5791,5680,1049,8,3,15,35,26,1,0,7,0,0
9,동작(4),3883,1276,1196,109,2,0,0,1,9,0,0,2,0,0
9,흑석,19089,7911,4621,1327,22,5,12,60,27,1,0,18,0,2
9,노들,17928,7916,5522,1875,5,6,5,28,35,3,0,13,0,2
9,노량진,15091,8803,3583,3443,4,10,39,47,23,2,0,30,0,1
9,샛강,16741,6409,5776,5070,5,8,472,120,44,2,1,33,1,2
9,여의도(5),8717,3370,3427,6959,4,13,599,145,37,1,1,46,2,1
9,국회의사당,845,554,558,2774,0,14,116,38,17,2,0,23,1,1
9,당산(2),23722,10278,8860,2191,10,7,82,93,34,2,0,22,0,2
9,선유도,13206,5578,4636,2223,16,5,39,61,36,1,0,27,0,3
9,신목동,13454,4858,4414,680,3,1,8,16,29,1,0,7,0,0
9,염창,29444,11500,9797,1742,5,2,18,100,37,0,0,17,0,1
9,등촌,32430,12781,10559,2353,11,7,25,119,38,3,0,25,0,2
9,증미,36630,15462,13888,2643,12,7,19,87,45,2,2,19,0,2
9,가양,40453,18382,17695,1984,17,6,19,130,60,3,3,20,0,0
9,양천향교,18782,7980,7682,1516,5,4,32,43,48,0,0,15,0,2
9,마곡나루,9610,3227,3215,149,1,1,2,7,25,0,0,5,0,0
9,신방화,31590,11835,9604,1279,5,1,7,42,51,0,0,16,0,0
9,공항시장,22525,10134,5926,2334,7,14,17,63,95,5,2,26,1,2
9,김포공항,16,5,7,601,1,10,5,2,63,4,2,7,1,0
9,개화,1996,803,490,898,3,11,5,5,71,5,2,9,1,0
